DataFrame,Mean,STD,Min,Max
airportnDr1nDe1,7533.826530612245,3373.198048246046,2198,16100
airportnDr1nDe0,7302.65306122449,4764.635597108971,278,16055
airportnDr0nDe1,9192.469387755102,4197.204703584935,2562,16886
airportnDr0nDe2,9170.510204081633,3873.035350960757,2524,15962
airportnDr0nDe3,9045.938775510203,4361.943210718418,2300,16894
gridnDr1nDe1,13026.22,5851.849345223433,3372,25126
gridnDr1nDe0,13030.89,7726.322090644671,224,25952
gridnDr0nDe1,16050.58,6979.018427089625,3372,26976
gridnDr0nDe2,16768.22,6483.016525063192,3830,27138
gridnDr0nDe3,16235.6,7316.291968040652,3440,25596
metroplexnDr1nDe1,9035.58,4873.861373747211,2186,20782
metroplexnDr1nDe0,10263.52,6456.147131801966,736,22064
metroplexnDr0nDe1,12335.04,6041.418921432482,2210,22068
metroplexnDr0nDe2,12047.2,6170.568704861339,2216,21924
metroplexnDr0nDe3,12019.26,6107.223281864309,1688,21874
gridAPTini0,16754.89160839161,5422.049205044708,5615,27920
gridAPTini,16790.61888111888,5423.815744568247,5639,27970
metroplexAPTini,16826.566433566433,5424.2811744992705,5665,28018
gridAPTini0,16754.89160839161,5422.049205044708,5615,27920
gridAPTini,16790.61888111888,5423.815744568247,5639,27970
metroplexAPTini,16826.566433566433,5424.2811744992705,5665,28018
gridAPTini0,16754.89160839161,5422.049205044708,5615,27920
gridAPTini,16790.61888111888,5423.815744568247,5639,27970
metroplexAPTini,16826.566433566433,5424.2811744992705,5665,28018
gridAPTini0,16754.89160839161,5422.049205044708,5615,27920
gridAPTini,16790.61888111888,5423.815744568247,5639,27970
metroplexAPTini,16826.566433566433,5424.2811744992705,5665,28018
gridAPTini0,16754.89160839161,5422.049205044708,5615,27920
gridAPTini,16790.61888111888,5423.815744568247,5639,27970
metroplexAPTini,16826.566433566433,5424.2811744992705,5665,28018
gridAPTini0,16754.89160839161,5422.049205044708,5615,27920
gridAPTini,16790.61888111888,5423.815744568247,5639,27970
metroplexAPTini,16826.566433566433,5424.2811744992705,5665,28018
